iter	Passed	Remaining
867	67918	166823
868	68049	166873
869	68156	166866
870	68262	166855
871	68374	166859
872	68475	166835
873	68592	166850
874	68694	166828
875	68804	166826
876	68905	166802
877	68999	166761
878	69103	166743
879	69198	166704
880	69308	166702
881	69421	166706
882	69536	166714
883	69641	166698
884	69747	166684
885	69832	166621
886	69927	166580
887	70026	166548
888	70125	166517
889	70205	166442
890	70306	166416
891	70404	166381
892	70502	166346
893	70603	166320
894	70707	166301
895	70820	166302
896	70916	166263
897	71021	166245
898	71128	166229
899	71229	166201
900	71329	166170
901	71428	166138
902	71532	166117
903	71647	166121
904	71760	166119
905	71897	166174
906	72048	166258
907	72158	166250
908	72261	166225
909	72354	166176
910	72444	166122
911	72542	166083
912	72657	166084
913	72773	166090
914	72867	166043
915	72973	166023
916	73071	165984
917	73168	165943
918	73266	165905
919	73356	165849
920	73457	165817
921	73558	165785
922	73656	165746
923	73747	165692
924	73845	165653
925	73926	165576
926	74023	165535
927	74126	165505
928	74219	165456
929	74317	165416
930	74419	165386
931	74511	165331
932	74596	165264
933	74693	165221
934	74790	165178
935	74891	165145
936	74987	165101
937	75094	165079
938	75192	165038
939	75283	164982
940	75375	164928
941	75471	164883
942	75568	164840
943	75663	164791
944	75758	164744
945	75854	164698
946	75952	164656
947	76047	164609
948	76138	164552
949	76235	164509
950	76326	164451
951	76420	164399
952	76518	164357
953	76617	164318
954	76708	164259
955	76769	164139
956	76829	164014
957	76892	163897
958	76947	163763
959	76993	163611
960	77036	163451
961	77075	163284
962	77111	163111
963	77150	162944
964	77185	162769
965	77229	162613
966	77272	162455
967	77321	162310
968	77359	162143
969	77399	161980
970	77447	161833
971	77486	161669
972	77520	161494
973	77560	161331
974	77601	161173
975	77640	161007
976	77681	160848
977	77720	160685
978	77758	160520
979	77796	160356
980	77847	160218
981	77888	160059
982	77928	159900
983	77967	159738
984	78003	159569
985	78041	159406
986	78084	159254
987	78125	159097
988	78164	158936
989	78205	158780
990	78240	158613
991	78292	158478
992	78346	158349
993	78393	158206
994	78442	158068
995	78492	157929
996	78531	157772
997	78575	157623
998	78617	157470
999	78683	157366
1000	78726	157216
1001	78774	157077
1002	78821	156936
1003	78862	156783
1004	78903	156628
1005	78949	156487
1006	78999	156352
1007	79042	156203
1008	79096	156077
1009	79154	155957
1010	79227	155869
1011	79273	155726
1012	79323	155592
1013	79370	155453
1014	79416	155311
1015	79464	155174
1016	79508	155029
1017	79548	154878
1018	79593	154733
1019	79634	154584
1020	79682	154448
1021	79740	154331
1022	79784	154187
1023	79827	154041
1024	79907	153967
1025	79945	153813
1026	79986	153663
1027	80027	153516
1028	80067	153365
1029	80106	153212
1030	80145	153061
1031	80194	152928
1032	80261	152831
1033	80310	152697
1034	80352	152553
1035	80390	152400
1036	80432	152255
1037	80487	152135
1038	80536	152003
1039	80589	151879
1040	80629	151731
1041	80667	151579
1042	80706	151431
1043	80749	151289
1044	80807	151176
1045	80867	151065
1046	80935	150971
1047	80976	150826
1048	81024	150695
1049	81067	150553
1050	81118	150427
1051	81159	150283
1052	81205	150149
1053	81255	150021
1054	81315	149912
1055	81361	149779
1056	81402	149636
1057	81453	149511
1058	81505	149388
1059	81549	149250
1060	81608	149141
1061	81660	149018
1062	81707	148886
1063	81751	148751
1064	81794	148613
1065	81844	148487
1066	81895	148363
1067	81958	148261
1068	82002	148125
1069	82048	147994
1070	82093	147861
1071	82145	147738
1072	82191	147607
1073	82244	147489
1074	82290	147357
1075	82333	147221
1076	82382	147094
1077	82433	146973
1078	82476	146836
1079	82515	146694
1080	82556	146554
1081	82601	146423
1082	82649	146296
1083	82689	146156
1084	82746	146046
1085	82806	145940
1086	82852	145811
1087	82902	145688
